GEOID_JOIN,LAT,LON,POPULATION,WEIGHTED_DEMAND,TIER_LABEL,MULTIPLIER,METHOD,ASSIGNED_SID,ASSIGNED_NAME,TRAVEL_TIME_MIN
1.2103E+11,27.8156905,-82.723364,2802,2241.6,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,3.706227150136399
1.2103E+11,28.0084667,-82.7358262,1553,310.6,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,23.434644058292147
1.2103E+11,27.9048377,-82.7503413,802,40.1,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,12.572378381242787
1.2103E+11,27.9068877,-82.7905539,1362,68.1,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,17.238410351022374
1.2103E+11,28.0009326,-82.758922,986,788.8,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,22.99707981095336
1.2103E+11,27.7063055,-82.7198058,1118,950.3,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,16.499155256872157
1.2103E+11,27.9860052,-82.7512067,494,395.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,21.65886479303447
1.2103E+11,27.9851608,-82.7358022,2122,424.4,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,20.54913488445709
1.2103E+11,28.042484,-82.6974791,1379,1172.15,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,30.41120233345893
1.2103E+11,27.9515406,-82.7581563,846,676.8,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,18.87715343414293
1.2103E+11,27.9651959,-82.6623751,1100,935.0,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,23.186188742575027
1.2103E+11,27.9312443,-82.8365752,856,727.6,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,24.50067352619373
1.2103E+11,27.954553,-82.8056924,790,671.5,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,22.42045367081741
1.2103E+11,27.9094806,-82.827722,1417,1204.45,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,20.379080699147263
1.2103E+11,27.9121228,-82.8073018,1157,925.6,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,19.30446040386609
1.2103E+11,27.9356498,-82.803311,1640,82.0,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,20.9304378165966
1.2103E+11,27.9328226,-82.7688461,1883,94.15,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,18.33836971096193
1.2103E+11,28.1656089,-82.7672113,1752,1489.2,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,41.515092437883965
1.2103E+11,27.9010424,-82.8086345,739,591.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,19.05888660397592
1.2103E+11,27.9328587,-82.7809323,1382,1105.6,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,18.851022465453656
1.2103E+11,27.898652,-82.7916607,1350,67.5,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,16.673791456225924
1.2103E+11,27.8894392,-82.8241728,1564,78.2,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,19.174722183591765
1.2103E+11,27.8836531,-82.8241086,532,26.6,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,18.382255484811992
1.2103E+11,28.0361505,-82.7043223,995,845.75,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,27.52071078309717
1.2103E+11,27.886531,-82.8157695,1233,61.65,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,18.35044932240418
1.2103E+11,27.8915187,-82.7592677,2008,1706.8,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,13.36911604144534
1.2103E+11,28.093255,-82.6894017,2369,1895.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,34.17838469659905
1.2103E+11,27.9123977,-82.7408725,1270,254.0,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,12.877070863345208
1.2103E+11,27.9035536,-82.7415211,1950,390.0,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,11.820063203451598
1.2103E+11,28.0178076,-82.7108636,1034,51.7,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,24.864609259571896
1.2103E+11,27.9589351,-82.7930191,794,635.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,22.275786788760296
1.2103E+11,27.8957393,-82.7433293,555,27.75,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,11.214012797813528
1.2103E+11,27.8914917,-82.7825767,952,809.2,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,15.005994143002807
1.2103E+11,27.7733096,-82.7762606,396,396.0,VE/V — Coastal High Hazard,1.0,CPLEX,16,Lealman Exchange,13.383682667037643
1.2103E+11,28.106769,-82.7430667,1721,86.05,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,33.68503992413472
1.2103E+11,28.104164,-82.738084,1372,1097.6,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,32.51471860505534
1.2103E+11,27.8770004,-82.8365044,1019,50.95,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,19.32964796384299
1.2103E+11,28.0172628,-82.7904595,1390,1181.5,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,28.089080507250863
1.2103E+11,27.9540208,-82.7251348,1149,976.65,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,93.79793948771076
1.2103E+11,28.0149974,-82.7303841,1435,71.75,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,23.26135422946772
1.2103E+11,28.1241302,-82.658389,2607,2085.6,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,42.49567579937743
1.2103E+11,27.9643247,-82.7978322,1456,1237.6,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,23.30045882242293
1.2103E+11,27.9626328,-82.779809,1265,1012.0,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,21.3172612484
1.2103E+11,27.9557203,-82.7811315,658,526.4,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,21.062796277369088
1.2103E+11,28.0024628,-82.7660099,1725,1380.0,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,23.95571362479326
1.2103E+11,27.95274,-82.7694548,1688,1350.4,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,19.63027500865543
1.2103E+11,27.9915807,-82.7522581,1781,1424.8,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,21.58681924644885
1.2103E+11,27.9840024,-82.7433815,524,419.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,19.952060999744777
1.2103E+11,27.9516387,-82.7813631,1645,1316.0,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,20.3055180743914
1.2103E+11,27.9014623,-82.829076,1951,1658.35,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,21.10782997752064
1.2103E+11,27.9135097,-82.8154778,958,766.4,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,20.4971469367858
1.2103E+11,27.9531077,-82.7960278,454,363.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,22.15403826838385
1.2103E+11,27.9052088,-82.7997901,784,627.2,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,17.38414305026499
1.2103E+11,27.9244736,-82.7852362,1804,90.2,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,18.26029932607861
1.2103E+11,28.0444617,-82.6842229,670,536.0,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,30.401310624878985
1.2103E+11,28.0775313,-82.7205585,1306,261.2,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,31.39993338339752
1.2103E+11,28.073992,-82.7290912,1897,379.4,X Shaded — 500-yr,0.2,CPLEX,16,Lealman Exchange,31.9149070053101
1.2103E+11,27.9212191,-82.7716039,1331,66.55,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,16.665181583267188
1.2103E+11,27.9192925,-82.7679828,752,37.6,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,15.48639489987737
1.2103E+11,28.0969973,-82.7618598,1388,1179.8,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,33.5090723115522
1.2103E+11,28.1409695,-82.7713433,1772,1506.2,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,39.68478252054904
1.2103E+11,28.0077026,-82.7524526,1326,1060.8,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,23.750513016612533
1.2103E+11,28.1433934,-82.7308087,2601,2080.8,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,37.8858175713614
1.2103E+11,27.9535425,-82.7896368,2078,1662.4,AE/A — 100-yr Floodplain,0.8,CPLEX,16,Lealman Exchange,21.298232499429933
1.2103E+11,27.7332201,-82.6438498,820,697.0,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,12.916667118887244
1.2103E+11,27.7832574,-82.6303543,675,573.75,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,9.467780460203898
1.2103E+11,27.7066788,-82.6490117,948,805.8,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,16.37971979971003
1.2103E+11,27.7358686,-82.7383956,808,686.8,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,13.608394793809934
1.2103E+11,27.7138472,-82.7132101,494,419.9,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,15.668404696931152
1.2103E+11,27.7087536,-82.6661884,807,40.35,X Unshaded / Minimal,0.05,CPLEX,16,Lealman Exchange,14.496059055551951
1.2103E+11,27.8392,-82.6293453,1503,1277.55,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,7.631444688317401
1.2103E+11,27.8327585,-82.6237954,1626,1382.1,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,7.506341815909269
1.2103E+11,27.8501355,-82.6494741,1307,1110.95,AE Coastal Floodplain,0.85,CPLEX,16,Lealman Exchange,7.634664432807114
