p,METHOD,SID,NAME,LAT,LON
5,CPLEX_Agg,0,Clearwater Fundamental Middle,27.976248,-82.766487
5,CPLEX_Agg,1,Palm Harbor Middle,28.066762,-82.752829
5,CPLEX_Agg,7,Jamerson Elementary,27.758239,-82.682283
5,CPLEX_Agg,16,Lealman Exchange,27.818585,-82.693162
5,CPLEX_Agg,17,Mildred Helms Elementary,27.912518,-82.79708
5,CPLEX_Full,1,Palm Harbor Middle,28.066762,-82.752829
5,CPLEX_Full,8,Sanderlin K-8,27.747297,-82.665967
5,CPLEX_Full,14,Skycrest Elementary,27.966234,-82.761041
5,CPLEX_Full,16,Lealman Exchange,27.818585,-82.693162
5,CPLEX_Full,17,Mildred Helms Elementary,27.912518,-82.79708
5,PuLP_CBC,1,Palm Harbor Middle,28.066762,-82.752829
5,PuLP_CBC,8,Sanderlin K-8,27.747297,-82.665967
5,PuLP_CBC,14,Skycrest Elementary,27.966234,-82.761041
5,PuLP_CBC,16,Lealman Exchange,27.818585,-82.693162
5,PuLP_CBC,17,Mildred Helms Elementary,27.912518,-82.79708
5,RL,1,Palm Harbor Middle,28.066762,-82.752829
5,RL,8,Sanderlin K-8,27.747297,-82.665967
5,RL,14,Skycrest Elementary,27.966234,-82.761041
5,RL,16,Lealman Exchange,27.818585,-82.693162
5,RL,17,Mildred Helms Elementary,27.912518,-82.79708
8,CPLEX_Agg,0,Clearwater Fundamental Middle,27.976248,-82.766487
8,CPLEX_Agg,1,Palm Harbor Middle,28.066762,-82.752829
8,CPLEX_Agg,3,Sexton Elementary,27.822357,-82.659844
8,CPLEX_Agg,5,McMullen-Booth Elementary,27.995527,-82.712017
8,CPLEX_Agg,8,Sanderlin K-8,27.747297,-82.665967
8,CPLEX_Agg,12,Fairmount Park Elementary,27.764914,-82.690303
8,CPLEX_Agg,16,Lealman Exchange,27.818585,-82.693162
8,CPLEX_Agg,17,Mildred Helms Elementary,27.912518,-82.79708
8,CPLEX_Full,0,Clearwater Fundamental Middle,27.976248,-82.766487
8,CPLEX_Full,1,Palm Harbor Middle,28.066762,-82.752829
8,CPLEX_Full,3,Sexton Elementary,27.822357,-82.659844
8,CPLEX_Full,5,McMullen-Booth Elementary,27.995527,-82.712017
8,CPLEX_Full,8,Sanderlin K-8,27.747297,-82.665967
8,CPLEX_Full,12,Fairmount Park Elementary,27.764914,-82.690303
8,CPLEX_Full,16,Lealman Exchange,27.818585,-82.693162
8,CPLEX_Full,17,Mildred Helms Elementary,27.912518,-82.79708
8,PuLP_CBC,0,Clearwater Fundamental Middle,27.976248,-82.766487
8,PuLP_CBC,1,Palm Harbor Middle,28.066762,-82.752829
8,PuLP_CBC,3,Sexton Elementary,27.822357,-82.659844
8,PuLP_CBC,5,McMullen-Booth Elementary,27.995527,-82.712017
8,PuLP_CBC,8,Sanderlin K-8,27.747297,-82.665967
8,PuLP_CBC,12,Fairmount Park Elementary,27.764914,-82.690303
