GEOID_JOIN,LAT,LON,POPULATION,WEIGHTED_DEMAND,TIER_LABEL,MULTIPLIER,METHOD,ASSIGNED_SID,ASSIGNED_NAME,TRAVEL_TIME_MIN
1.2103E+11,27.8156905,-82.723364,2802,2241.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.706227150136399
1.2103E+11,28.0084667,-82.7358262,1553,310.6,X Shaded — 500-yr,0.2,PuLP_CBC,14,Skycrest Elementary,7.076160989041737
1.2103E+11,27.9048377,-82.7503413,802,40.1,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,6.600815586146326
1.2103E+11,27.9068877,-82.7905539,1362,68.1,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,0.9062502491396316
1.2103E+11,28.0009326,-82.758922,986,788.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,14,Skycrest Elementary,4.493965668884557
1.2103E+11,27.7063055,-82.7198058,1118,950.3,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,8.503845688368637
1.2103E+11,27.9860052,-82.7512067,494,395.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,14,Skycrest Elementary,2.859115848003386
1.2103E+11,27.9851608,-82.7358022,2122,424.4,X Shaded — 500-yr,0.2,PuLP_CBC,14,Skycrest Elementary,4.710168864315337
1.2103E+11,28.042484,-82.6974791,1379,1172.15,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,7.161754101405369
1.2103E+11,27.9515406,-82.7581563,846,676.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,14,Skycrest Elementary,2.3308831940705104
1.2103E+11,27.9651959,-82.6623751,1100,935.0,AE Coastal Floodplain,0.85,PuLP_CBC,14,Skycrest Elementary,10.073947364566685
1.2103E+11,27.9312443,-82.8365752,856,727.6,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,6.710459390423464
1.2103E+11,27.954553,-82.8056924,790,671.5,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,4.691804774938647
1.2103E+11,27.9094806,-82.827722,1417,1204.45,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,2.908806247063107
1.2103E+11,27.9121228,-82.8073018,1157,925.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,17,Mildred Helms Elementary,1.8341859517819288
1.2103E+11,27.9356498,-82.803311,1640,82.0,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,3.2017889207178305
1.2103E+11,27.9328226,-82.7688461,1883,94.15,X Unshaded / Minimal,0.05,PuLP_CBC,14,Skycrest Elementary,4.539576962966193
1.2103E+11,28.1656089,-82.7672113,1752,1489.2,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,13.436290240680377
1.2103E+11,27.9010424,-82.8086345,739,591.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,17,Mildred Helms Elementary,2.7430898347263453
1.2103E+11,27.9328587,-82.7809323,1382,1105.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,17,Mildred Helms Elementary,3.889698593890072
1.2103E+11,27.898652,-82.7916607,1350,67.5,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,1.5313164612358825
1.2103E+11,27.8894392,-82.8241728,1564,78.2,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,4.905925621242716
1.2103E+11,27.8836531,-82.8241086,532,26.6,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,5.668087022049984
1.2103E+11,28.0361505,-82.7043223,995,845.75,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,7.038962535312242
