DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,Fl_status,Status
12103C,1.1.1.0,12103C_28,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_32,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_1,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_13,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_16,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_17,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_47,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_69,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_72,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_79,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_80,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_85,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_166,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_168,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_169,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_174,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_175,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_180,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_1141,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2175,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2052,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2056,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2057,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2058,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2059,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2063,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_399,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_400,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_401,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_402,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_2101,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2102,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_2191,SFHA without BFE,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,1,1
12103C,1.1.1.0,12103C_318,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_321,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_325,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
12103C,1.1.1.0,12103C_327,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_FIS1,1,1
