STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_JOIN,POPULATION
12,103,024804,1,121030248041,1500000US121030248041,Block Group 1,G5030,S,1105687.000000000000000,28824.000000000000000,+27.8156905,-082.7233640,121030248041,2802
12,103,026913,2,121030269132,1500000US121030269132,Block Group 2,G5030,S,766254.000000000000000,10838.000000000000000,+28.0084667,-082.7358262,121030269132,1553
12,103,025417,1,121030254171,1500000US121030254171,Block Group 1,G5030,S,645346.000000000000000,22421.000000000000000,+27.9048377,-082.7503413,121030254171,802
12,103,025309,2,121030253092,1500000US121030253092,Block Group 2,G5030,S,644530.000000000000000,3911.000000000000000,+27.9068877,-082.7905539,121030253092,1362
12,103,026916,4,121030269164,1500000US121030269164,Block Group 4,G5030,S,530974.000000000000000,133171.000000000000000,+28.0009326,-082.7589220,121030269164,986
12,103,020108,1,121030201081,1500000US121030201081,Block Group 1,G5030,S,306267.000000000000000,1092061.000000000000000,+27.7063055,-082.7198058,121030201081,1118
12,103,026705,3,121030267053,1500000US121030267053,Block Group 3,G5030,S,1417265.000000000000000,36701.000000000000000,+27.9860052,-082.7512067,121030267053,494
12,103,026704,2,121030267042,1500000US121030267042,Block Group 2,G5030,S,1347125.000000000000000,32690.000000000000000,+27.9851608,-082.7358022,121030267042,2122
12,103,027319,2,121030273192,1500000US121030273192,Block Group 2,G5030,S,917722.000000000000000,89888.000000000000000,+28.0424840,-082.6974791,121030273192,1379
12,103,026601,1,121030266011,1500000US121030266011,Block Group 1,G5030,S,645242.000000000000000,15930.000000000000000,+27.9515406,-082.7581563,121030266011,846
12,103,025420,2,121030254202,1500000US121030254202,Block Group 2,G5030,S,1089913.000000000000000,22345522.000000000000000,+27.9651959,-082.6623751,121030254202,1100
12,103,027605,2,121030276052,1500000US121030276052,Block Group 2,G5030,S,681164.000000000000000,2876763.000000000000000,+27.9312443,-082.8365752,121030276052,856
12,103,025902,1,121030259021,1500000US121030259021,Block Group 1,G5030,S,596863.000000000000000,691010.000000000000000,+27.9545530,-082.8056924,121030259021,790
12,103,025210,1,121030252101,1500000US121030252101,Block Group 1,G5030,S,1014224.000000000000000,623767.000000000000000,+27.9094806,-082.8277220,121030252101,1417
12,103,025211,2,121030252112,1500000US121030252112,Block Group 2,G5030,S,948132.000000000000000,9271.000000000000000,+27.9121228,-082.8073018,121030252112,1157
12,103,025700,3,121030257003,1500000US121030257003,Block Group 3,G5030,S,1903965.000000000000000,43968.000000000000000,+27.9356498,-082.8033110,121030257003,1640
12,103,025507,1,121030255071,1500000US121030255071,Block Group 1,G5030,S,1622676.000000000000000,85362.000000000000000,+27.9328226,-082.7688461,121030255071,1883
12,103,027308,2,121030273082,1500000US121030273082,Block Group 2,G5030,S,3467728.000000000000000,361853.000000000000000,+28.1656089,-082.7672113,121030273082,1752
12,103,025207,4,121030252074,1500000US121030252074,Block Group 4,G5030,S,682465.000000000000000,103205.000000000000000,+27.9010424,-082.8086345,121030252074,739
12,103,025510,2,121030255102,1500000US121030255102,Block Group 2,G5030,S,574218.000000000000000,5136.000000000000000,+27.9328587,-082.7809323,121030255102,1382
12,103,025310,1,121030253101,1500000US121030253101,Block Group 1,G5030,S,649618.000000000000000,16465.000000000000000,+27.8986520,-082.7916607,121030253101,1350
12,103,025209,3,121030252093,1500000US121030252093,Block Group 3,G5030,S,323776.000000000000000,0.000000000000000,+27.8894392,-082.8241728,121030252093,1564
12,103,025209,4,121030252094,1500000US121030252094,Block Group 4,G5030,S,647703.000000000000000,9251.000000000000000,+27.8836531,-082.8241086,121030252094,532
12,103,026814,2,121030268142,1500000US121030268142,Block Group 2,G5030,S,1892522.000000000000000,179455.000000000000000,+28.0361505,-082.7043223,121030268142,995
12,103,025207,2,121030252072,1500000US121030252072,Block Group 2,G5030,S,920072.000000000000000,42743.000000000000000,+27.8865310,-082.8157695,121030252072,1233
12,103,025021,2,121030250212,1500000US121030250212,Block Group 2,G5030,S,2332371.000000000000000,76510.000000000000000,+27.8915187,-082.7592677,121030250212,2008
