OBJECTID,Facility Type,Facility Subtype,Facility ID,Facility Name,Address,City,Zip,Managing Entity,Primary Contact,Secondary Contact,Restoration Priority,Restoration Note,LATITUDE,LONGITUDE,Site Notes,Capacity,Generator,DATASOURCE,PIN,Evac Zone,Municipality Name,LE Agency,EMS Provider,EMS Grid ID,Fire Provider,Fire District,Fire Grid ID,Water Service Provider,Sewer Provider,Sewer Basin Name,Sewer Basin ID,Solid Waste Collection Service,CAT0 Storm Surge Depth (ft),CAT1 Storm Surge Depth (ft),CAT2 Storm Surge Depth (ft),CAT3 Storm Surge Depth (ft),CAT4 Storm Surge Depth (ft),CAT5 Storm Surge Depth (ft),Internal Created User,Internal Created Date,Internal Edited User,Internal Edited Date,GlobalID,x,y
401,Emergency Shelter,General Population Shelter,7,Clearwater Fundamental Middle,"1660 Palmetto St, Clearwater 33755",CLEARWATER,33755,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.97624823,-82.76648689,"Activation Level: A(s), B(s), C, D, E",# of Spaces: 1733,None,"PCEM, 2024",1.53E+17,Non Evac,Clearwater,Clearwater,Clearwater,270B,Clearwater,Clearwater,270,CITY OF CLEARWATER-WATER DIV,Clw Marshall,City of Clearwater,,CITY OF CLEARWATER,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,13da26e4-e6a3-47b2-a390-05167d571926,-9213523.534,3245980.206
402,Emergency Shelter,General Population Shelter,3,Palm Harbor Middle,"1800 Tampa Rd, Palm Harbor 34683",PALM HARBOR,34683,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.06676195,-82.75282908,"Activation Level: B(s), C(s), D, E",# of Spaces: 1457,"Location: none, Size: , Delivered By: , Run Time (hrs): ","PCEM, 2024",1.53E+17,Non Evac,Unincorporated,PCSO,Sunstar,142B,Palm Harbor,Palm Harbor,142,PINELLAS COUNTY UTILITIES,William E. Dunn,"Pinellas Utilities - Dunn - Pump Station 345
",PS345,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,2efe4fcc-6dea-416d-9a1d-62901360209b,-9212003.153,3257394.199
403,Emergency Shelter,Special Needs Shelter,23,John Hopkins Middle,"701 16th St S, St Petersburg 33705",ST PETERSBURG,33705,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.76310368,-82.65630863,"Activation Level: A, B, C, D, E",# of Spaces: 758,"#1 & #2: PC Fleet, Size: 25 KVA, Delivered By: PC Fleet, Run Time (hrs): 22.3, #3: on site, Size: 100 KW, Delivered By: n/a, Run Time (hrs): 32","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,Largo,Largo,660A,St. Petersburg,St Petersburg,660,CITY OF ST. PETERSBURG,StPeteAlWhitted,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,6d6bf901-21b5-42a1-8934-c0ed2918d1a5,-9201258.543,3219139.914
404,Emergency Shelter,General Population Shelter,15,Sexton Elementary,"1997 54th Ave N, St Petersburg 33714",ST PETERSBURG,33714,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.8223567,-82.65984364,"Activation Level: D(s), E(s)",# of Spaces: 691,"Location: on site, Size: 80 KW, Delivered By: n/a, Run Time (hrs): 46","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,Clearwater,Clearwater,558A,St. Petersburg,St Petersburg,558,CITY OF ST. PETERSBURG,StPeteNorthEast,City of St Petersburg,PS121,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,172828ae-ffa2-464b-9368-ebc6a5d013e9,-9201652.058,3226596.075
405,Emergency Shelter,Special Needs Shelter,4,Dunedin Middle,"70 Patricia Ave, Dunedin 34698",DUNEDIN,34698,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.00010549,-82.7773552,"Activation Level: A, B, C, D, E",# of Spaces: 1351,"Location: on site, Size: 1.6 MW, Delivered By: n/a, Run Time (hrs): 120","PCEM, 2024",1.53E+17,E,Unincorporated,PCSO,East Lake,241A,Dunedin,Dunedin,241,CITY OF DUNEDIN,Dunedin,City of Dunedin,,CITY OF DUNEDIN,,,,,5,50,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,be2dc6d4-de0d-4436-8833-74966e9c8ce2,-9214733.389,3248987.731
406,Emergency Shelter,Pet Friendly Shelter,20,Gibbs High,"850 34th St S, St Petersburg 33711",ST PETERSBURG,33711,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.76157696,-82.67829886,"Activation Level: A, B, C, D, E",# of Spaces: 5943,"#1: PC Fleet (tag 90877), Size: 7KW, Delivered By: PC Fleet, Run Time (hrs): 10.4; #2 & #3: PC Fleet (tag 104085), Size: 5 KW, Delivered By: PC Fleet, Run Time (hrs): 10.1; #4: on site, Size: 15 KW, Delivered By: n/a, Run Time (hrs): 48","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,St. Petersburg,SPB,669A,St. Petersburg,St Petersburg,669,CITY OF ST. PETERSBURG,StPeteSouthWest,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,7cacedd0-92ea-4f2f-9831-9df578ede269,-9203706.484,3218947.852
407,Emergency Shelter,General Population Shelter,6,McMullen-Booth Elementary,"3025 Union St, Clearwater 33759",CLEARWATER,33759,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.99552684,-82.71201701,"Activation Level: C(s), D, E",# of Spaces: 617,"Location: on site, Size: 80 KW, Delivered By: n/a, Run Time (hrs): 60","PCEM, 2024",1.63E+17,Non Evac,Unincorporated,St. Petersburg,St. Petersburg,256A,Clearwater,Clearwater,256,CITY OF CLEARWATER-WATER DIV,Clw NE,City of Clearwater,,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,5d0663b6-fd56-40dd-b596-c7096bbeb79c,-9207459.973,3248410.48
408,Emergency Shelter,General Population Shelter,1,Carwise Middle,"3301 Bentley Dr, Palm Harbor 34684",PALM HARBOR,34684,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.08862824,-82.72659028,"Activation Level: B(s), C, D, E",# of Spaces: 1990,None,"PCEM, 2024",1.63E+17,Non Evac,Unincorporated,PCSO,Palm Harbor,108A,Palm Harbor,Palm Harbor,108,PINELLAS COUNTY UTILITIES,William E. Dunn,"Pinellas Utilities - Dunn - Pump Station 362
",PS362,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,650d6e9a-516a-499d-8483-045b84d3e3d9,-9209082.262,3260153.031
410,Emergency Shelter,General Population Shelter,21,Jamerson Elementary,"1200 37th St S, St Petersburg 33711",ST PETERSBURG,33711,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.75823919,-82.68228337,"Activation Level: C(s), D(s), E(s)",# of Spaces: 345,"Location: on site, Size: 60 KW, Delivered By: n/a, Run Time (hrs): 36","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,St. Petersburg,Sunstar,668B,St. Petersburg,St Petersburg,668,CITY OF ST. PETERSBURG,StPeteSouthWest,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,f083619a-4f11-4423-a960-28d1fb3318a9,-9204150.038,3218527.967
411,Emergency Shelter,General Population Shelter,26,Sanderlin K-8,"2350 22nd Ave S, St Petersburg 33712",ST PETERSBURG,33712,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.74729727,-82.66596699,"Activation Level: C(s), D(s), E(s)",# of Spaces: 702,"Location: on site, Size: 60 KW, Delivered By: n/a, Run Time (hrs): 31","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,St. Petersburg,St. Petersburg,688B,St. Petersburg,St Petersburg,688,CITY OF ST. PETERSBURG,StPeteAlWhitted,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,862d580b-a17e-490f-bd4a-e1abdbd5dc73,-9202333.706,3217151.587
